##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	16_3D_mbnl_S12_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8235197
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.24531252864989	32.0	32.0	32.0	32.0	32.0
2	31.521596143965954	32.0	32.0	32.0	32.0	32.0
3	35.21323825040251	37.0	32.0	37.0	32.0	37.0
4	35.92590426191383	37.0	37.0	37.0	32.0	37.0
5	36.19147520089683	37.0	37.0	37.0	37.0	37.0
6	39.58529431657798	41.0	41.0	41.0	37.0	41.0
7	39.83306944569753	41.0	41.0	41.0	37.0	41.0
8	39.74726809814022	41.0	41.0	41.0	37.0	41.0
9	40.01106955911316	41.0	41.0	41.0	37.0	41.0
10-11	40.10570979662053	41.0	41.0	41.0	37.0	41.0
12-13	40.150732216849214	41.0	41.0	41.0	37.0	41.0
14-15	40.13340688753408	41.0	41.0	41.0	37.0	41.0
16-17	40.08517549731961	41.0	41.0	41.0	37.0	41.0
18-19	40.07593279189314	41.0	41.0	41.0	37.0	41.0
20-21	40.069694446896655	41.0	41.0	41.0	37.0	41.0
22-23	40.075260737539125	41.0	41.0	41.0	37.0	41.0
24-25	40.05867285263486	41.0	41.0	41.0	37.0	41.0
26-27	39.99746672726833	41.0	41.0	41.0	37.0	41.0
28-29	39.970711993896444	41.0	41.0	41.0	37.0	41.0
30-31	39.93526991521878	41.0	41.0	41.0	37.0	41.0
32-33	39.941611354288185	41.0	41.0	41.0	37.0	41.0
34-35	39.98400590781253	41.0	41.0	41.0	37.0	41.0
36-37	39.97689059533124	41.0	41.0	41.0	37.0	41.0
38-39	39.96335151423821	41.0	41.0	41.0	37.0	41.0
40-41	39.95931481663402	41.0	41.0	41.0	37.0	41.0
42-43	39.92153144606013	41.0	41.0	41.0	37.0	41.0
44-45	39.87862609722633	41.0	41.0	41.0	37.0	41.0
46-47	39.88849240643545	41.0	41.0	41.0	37.0	41.0
48-49	39.8908239232164	41.0	41.0	41.0	37.0	41.0
50-51	39.88507554828379	41.0	41.0	41.0	37.0	41.0
52-53	39.83892795764327	41.0	41.0	41.0	37.0	41.0
54-55	39.83472805811446	41.0	41.0	41.0	37.0	41.0
56-57	39.81449672667212	41.0	41.0	41.0	37.0	41.0
58-59	39.80346116795992	41.0	41.0	41.0	37.0	41.0
60-61	39.781645357117746	41.0	41.0	41.0	37.0	41.0
62-63	39.74518423785126	41.0	41.0	41.0	37.0	41.0
64-65	39.73734744900456	41.0	41.0	41.0	37.0	41.0
66-67	39.71760985195618	41.0	41.0	41.0	37.0	41.0
68-69	39.69895049262331	41.0	41.0	41.0	37.0	41.0
70-71	39.613052547498256	41.0	41.0	41.0	37.0	41.0
72-73	39.6166242289043	41.0	41.0	41.0	37.0	41.0
74-75	39.580290307566415	41.0	41.0	41.0	37.0	41.0
76-77	39.18550163402284	41.0	41.0	41.0	34.5	41.0
78-79	39.2774868045051	41.0	41.0	41.0	37.0	41.0
80-81	39.41981885800668	41.0	41.0	41.0	37.0	41.0
82-83	39.460944710855124	41.0	41.0	41.0	37.0	41.0
84-85	39.428462427796205	41.0	41.0	41.0	37.0	41.0
86-87	39.39503554074055	41.0	41.0	41.0	37.0	41.0
88-89	39.249037515435276	41.0	41.0	41.0	37.0	41.0
90-91	39.2689927757648	41.0	41.0	41.0	37.0	41.0
92-93	39.205161212294016	41.0	41.0	41.0	37.0	41.0
94-95	39.12333742592922	41.0	41.0	41.0	37.0	41.0
96-97	39.1065642388397	41.0	41.0	41.0	37.0	41.0
98-99	38.90403575045017	41.0	41.0	41.0	32.0	41.0
100-101	38.439431442866514	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.22157513673880302
1101	2	0.002171013026053714
1101	3	-0.33651892574102504
1101	4	-0.12905131884986076
1101	5	0.13421773129311276
1101	6	-0.04508819553518606
1101	7	-0.0074965780862044085
1101	8	-0.09280600988758891
1101	9	-0.05031712209643757
1101	10-11	0.019360273037079878
1101	12-13	0.0076723056555394464
1101	14-15	-0.04660940166759531
1101	16-17	-0.0100965378895026
1101	18-19	-0.048709027366022895
1101	20-21	-0.0010506820686444485
1101	22-23	0.009156709894647008
1101	24-25	0.024213295170454785
1101	26-27	0.015729015667766078
1101	28-29	-0.04572738551930655
1101	30-31	-0.05223857935028775
1101	32-33	0.029908587134478637
1101	34-35	-0.037126147087590766
1101	36-37	-0.05592572124425743
1101	38-39	-0.05811276979083857
1101	40-41	-0.031778318462805544
1101	42-43	-0.01994332132430543
1101	44-45	0.02781978769501592
1101	46-47	-0.01176421027621899
1101	48-49	-0.06855630451077133
1101	50-51	-0.05878654990065968
1101	52-53	0.0055689261594409345
1101	54-55	-0.006244080945549513
1101	56-57	0.006254990383773418
1101	58-59	-0.011380504169430594
1101	60-61	-0.028822065474528813
1101	62-63	-0.0027267388860607866
1101	64-65	0.009713762128725989
1101	66-67	-0.01040385523291576
1101	68-69	-0.017290154039820038
1101	70-71	0.020810136017544778
1101	72-73	0.05119490335165722
1101	74-75	-7.370039317606825E-4
1101	76-77	0.06721648311722106
1101	78-79	0.08140680842873138
1101	80-81	0.13970582165983103
1101	82-83	0.10555806393792011
1101	84-85	0.05642410704525247
1101	86-87	0.030195241782315918
1101	88-89	0.17034654855531528
1101	90-91	0.1515641012301785
1101	92-93	0.25010804206161197
1101	94-95	0.24414715756435612
1101	96-97	0.1469601039525017
1101	98-99	0.3909937663428025
1101	100-101	0.18704250686521817
1102	1	-0.18943317970806461
1102	2	-0.02842628648874168
1102	3	-0.3102790992175173
1102	4	-0.06801246014922668
1102	5	0.08342842832784214
1102	6	-0.0495791735277038
1102	7	0.01596615834208137
1102	8	-0.023110277554046377
1102	9	0.015596669398149743
1102	10-11	-0.0027704742253007453
1102	12-13	0.014117861990420977
1102	14-15	-8.438314258683022E-4
1102	16-17	0.028103141121668784
1102	18-19	0.004052995736202547
1102	20-21	0.0618066356940119
1102	22-23	0.05696095267428092
1102	24-25	0.03451953703630295
1102	26-27	0.05444176323698002
1102	28-29	0.009106486346219356
1102	30-31	-0.017239010566790114
1102	32-33	0.005058636056858745
1102	34-35	-0.05256325129992234
1102	36-37	-0.01078352167167651
1102	38-39	-0.02033110563750995
1102	40-41	0.006786243206782672
1102	42-43	0.009398631129123203
1102	44-45	0.020342205138454972
1102	46-47	0.01080541025604731
1102	48-49	-0.01974138700616379
1102	50-51	-0.012237989107831027
1102	52-53	-0.0017753374655811172
1102	54-55	0.011780806061310045
1102	56-57	0.0070385670543871015
1102	58-59	-0.024151536765963044
1102	60-61	-0.05095229174177973
1102	62-63	-0.02194834239556087
1102	64-65	0.030197569367594213
1102	66-67	0.008632404260239923
1102	68-69	0.007278627132087934
1102	70-71	0.03246669491358034
1102	72-73	0.03024573582279544
1102	74-75	0.016043393180034116
1102	76-77	0.0510283551262134
1102	78-79	0.10630203026147456
1102	80-81	0.12146779182523204
1102	82-83	0.09470855440365966
1102	84-85	0.07787750482196287
1102	86-87	0.05206876630784052
1102	88-89	0.18769551881310065
1102	90-91	0.3085616100361577
1102	92-93	0.29247153273268367
1102	94-95	0.3060662561385854
1102	96-97	0.23777198275303846
1102	98-99	0.45600559432769217
1102	100-101	0.2928232827218622
1103	1	-0.1766685801973722
1103	2	0.03401273566973373
1103	3	-0.17408333875734883
1103	4	-0.0645753972881522
1103	5	0.17122222285667732
1103	6	0.12603415060962675
1103	7	0.09505063002377057
1103	8	0.05923568655638434
1103	9	0.024838422448901554
1103	10-11	0.04639182033727707
1103	12-13	0.05990485788310451
1103	14-15	0.029910732547534735
1103	16-17	0.06104461497540825
