##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	32_4G_both_S23_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11820174
Sequences flagged as poor quality	0
Sequence length	101
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.72067407806349	32.0	32.0	32.0	32.0	32.0
2	31.12469097324625	32.0	32.0	32.0	32.0	32.0
3	34.6151708934234	37.0	32.0	37.0	32.0	37.0
4	35.110007094650214	37.0	37.0	37.0	32.0	37.0
5	35.66210768132517	37.0	37.0	37.0	32.0	37.0
6	38.838784775926314	41.0	41.0	41.0	32.0	41.0
7	39.05404649711586	41.0	41.0	41.0	37.0	41.0
8	39.07006174359193	41.0	41.0	41.0	37.0	41.0
9	39.231285850783586	41.0	41.0	41.0	37.0	41.0
10-11	39.12793809126668	41.0	41.0	41.0	37.0	41.0
12-13	39.19882901046972	41.0	41.0	41.0	37.0	41.0
14-15	39.158236503117465	41.0	41.0	41.0	37.0	41.0
16-17	38.97813538954672	41.0	41.0	41.0	37.0	41.0
18-19	39.05508700633341	41.0	41.0	41.0	37.0	41.0
20-21	39.00242352608346	41.0	41.0	41.0	37.0	41.0
22-23	39.02855968956125	41.0	41.0	41.0	37.0	41.0
24-25	39.067824086176735	41.0	41.0	41.0	37.0	41.0
26-27	39.06477188914478	41.0	41.0	41.0	37.0	41.0
28-29	39.061490338467095	41.0	41.0	41.0	37.0	41.0
30-31	38.99761720935749	41.0	41.0	41.0	37.0	41.0
32-33	38.664646857144405	41.0	41.0	41.0	32.0	41.0
34-35	38.51812282966392	41.0	41.0	41.0	32.0	41.0
36-37	38.431095642077686	41.0	41.0	41.0	32.0	41.0
38-39	38.429032432179085	41.0	41.0	41.0	32.0	41.0
40-41	38.73776625454075	41.0	41.0	41.0	32.0	41.0
42-43	38.87737731271976	41.0	41.0	41.0	32.0	41.0
44-45	38.95616215125091	41.0	41.0	41.0	37.0	41.0
46-47	38.92587122659954	41.0	41.0	41.0	34.5	41.0
48-49	38.87774236656753	41.0	41.0	41.0	32.0	41.0
50-51	38.8705746632833	41.0	41.0	41.0	32.0	41.0
52-53	38.93144940167548	41.0	41.0	41.0	32.0	41.0
54-55	38.74090829796583	41.0	41.0	41.0	32.0	41.0
56-57	38.84902624952898	41.0	41.0	41.0	32.0	41.0
58-59	38.775228435723534	41.0	41.0	41.0	32.0	41.0
60-61	38.69101626591961	41.0	41.0	41.0	32.0	41.0
62-63	38.74439179152523	41.0	41.0	41.0	32.0	41.0
64-65	38.68745125917774	41.0	41.0	41.0	32.0	41.0
66-67	38.66263956858842	41.0	41.0	41.0	32.0	41.0
68-69	38.58083032449437	41.0	41.0	41.0	32.0	41.0
70-71	38.61362163534987	41.0	41.0	41.0	32.0	41.0
72-73	38.52808511955915	41.0	41.0	41.0	32.0	41.0
74-75	38.50444083987258	41.0	41.0	41.0	32.0	41.0
76-77	37.941772050056116	41.0	39.0	41.0	29.5	41.0
78-79	38.07569152535318	41.0	39.0	41.0	32.0	41.0
80-81	38.43196572233201	41.0	41.0	41.0	32.0	41.0
82-83	38.5119005016339	41.0	41.0	41.0	32.0	41.0
84-85	38.40008323904538	41.0	41.0	41.0	32.0	41.0
86-87	38.33416695050344	41.0	41.0	41.0	32.0	41.0
88-89	38.316420299735015	41.0	41.0	41.0	32.0	41.0
90-91	38.23170640296834	41.0	41.0	41.0	32.0	41.0
92-93	38.124767960268606	41.0	37.0	41.0	32.0	41.0
94-95	37.99101333026062	41.0	37.0	41.0	32.0	41.0
96-97	37.93676696299056	41.0	37.0	41.0	32.0	41.0
98-99	37.76227384639177	41.0	37.0	41.0	27.0	41.0
100-101	36.76111096164912	41.0	37.0	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.33188793795599025
1101	2	-0.5002932893456986
1101	3	-0.9315598422461449
1101	4	-0.8517791175039093
1101	5	-0.7871905012441474
1101	6	-1.2913233486871647
1101	7	-0.4771458024040669
1101	8	-0.2113618197142344
1101	9	-0.022828103185730697
1101	10-11	0.01948268059994973
1101	12-13	-0.05136861846447971
1101	14-15	-0.06808451031259466
1101	16-17	0.017372316039306668
1101	18-19	0.003324786890502196
1101	20-21	0.03096321226741594
1101	22-23	-0.05909355487289503
1101	24-25	-0.007677962310459918
1101	26-27	-0.05126708619410891
1101	28-29	-0.08396644074676374
1101	30-31	0.09466656622318936
1101	32-33	0.301716137665764
1101	34-35	0.1773785777322061
1101	36-37	0.17452900626069123
1101	38-39	0.07023783736013911
1101	40-41	-0.06921309002062515
1101	42-43	-0.04643584680487578
1101	44-45	-0.07258325253313558
1101	46-47	0.020988503112775447
1101	48-49	0.09581476171740633
1101	50-51	0.08143354015105331
1101	52-53	-0.0028758996485578336
1101	54-55	0.19979705585200236
1101	56-57	-0.04549822826566441
1101	58-59	-0.006599892673342822
1101	60-61	0.060541112024971255
1101	62-63	-0.008762024530710733
1101	64-65	-0.06177065936517323
1101	66-67	0.04302417690590232
1101	68-69	0.014839733458778426
1101	70-71	-0.028660180081672593
1101	72-73	-0.058147625561773
1101	74-75	-0.022952252471384327
1101	76-77	-0.05569939885238284
1101	78-79	0.14041372108398065
1101	80-81	0.04581648022581675
1101	82-83	0.011471544193419447
1101	84-85	0.044946877583974754
1101	86-87	-0.017980744318386144
1101	88-89	-0.15941268817636
1101	90-91	-0.0947113362197669
1101	92-93	-0.060537039356368894
1101	94-95	0.01825567251314908
1101	96-97	0.0010753684707580646
1101	98-99	0.06094020602318295
1101	100-101	-0.04104209264807679
1102	1	-0.4303077694085502
1102	2	-0.6002122973753039
1102	3	-1.2442766124485658
1102	4	-1.116579111752479
1102	5	-1.0729340011606396
1102	6	-1.534996461401363
1102	7	-1.2142084750676432
1102	8	-0.730695434570471
1102	9	-0.45640249943235744
1102	10-11	-0.3482222690794856
1102	12-13	-0.2689851758220385
1102	14-15	-0.21412598343744804
1102	16-17	-0.13613251041616792
1102	18-19	-0.14453836795161834
1102	20-21	-0.1760120040154618
1102	22-23	-0.1984763334787516
1102	24-25	-0.2021417058268824
1102	26-27	-0.1067448707921912
1102	28-29	-0.16592222971847548
1102	30-31	-0.14773584993402977
1102	32-33	0.052800163633634156
1102	34-35	0.010871775838332098
1102	36-37	-0.04134224562791644
1102	38-39	-0.14900213627888093
1102	40-41	-0.2314986567830033
1102	42-43	-0.22466263265764752
1102	44-45	-0.17869650804537685
1102	46-47	-0.17354141922977817
1102	48-49	-0.16592808535078518
1102	50-51	-0.0943796602791025
1102	52-53	-0.22858482021751314
1102	54-55	-0.01532284819287355
1102	56-57	-0.2063436968498351
1102	58-59	-0.2337032429650847
1102	60-61	-0.1262282654476934
1102	62-63	-0.2523308791559913
1102	64-65	-0.21851805723851925
1102	66-67	-0.12611904741270763
1102	68-69	-0.10389840615053458
1102	70-71	-0.25314579211438115
1102	72-73	-0.2026950230423239
1102	74-75	-0.2571727191749176
1102	76-77	-0.5958074376744591
1102	78-79	-0.18359077790316292
1102	80-81	-0.1573476017001738
1102	82-83	-0.23673870157387
1102	84-85	-0.1425871821393656
1102	86-87	-0.18613222822904163
1102	88-89	-0.3174962904913272
1102	90-91	-0.3333211066796551
1102	92-93	-0.3469702626946969
1102	94-95	-0.3196491570384268
1102	96-97	-0.4010380786019354
1102	98-99	-0.2649759341624929
1102	100-101	-0.3655705036393684
1103	1	-0.558550808628155
1103	2	-0.5237138794601961
1103	3	-1.2609613118364251
1103	4	-1.0306556293107363
1103	5	-1.0294411197510698
1103	6	-1.1075919205923483
1103	7	-1.1226196188339586
1103	8	-0.9469024577757992
1103	9	-0.428368765957849
1103	10-11	-0.29565856187456774
1103	12-13	-0.21812723643980547
