##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	trim_16_1P.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8014158
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.484589647471388	32.0	32.0	32.0	32.0	32.0
2	31.564448941485807	32.0	32.0	32.0	32.0	32.0
3	35.32247692146823	37.0	37.0	37.0	32.0	37.0
4	36.016048223656185	37.0	37.0	37.0	32.0	37.0
5	36.26492090622621	37.0	37.0	37.0	37.0	37.0
6	39.6803200036735	41.0	41.0	41.0	37.0	41.0
7	39.92345072308282	41.0	41.0	41.0	37.0	41.0
8	39.83796513620021	41.0	41.0	41.0	37.0	41.0
9	40.09034848077614	41.0	41.0	41.0	37.0	41.0
10-11	40.18064374323541	41.0	41.0	41.0	37.0	41.0
12-13	40.22071201990278	41.0	41.0	41.0	39.0	41.0
14-15	40.20702187304019	41.0	41.0	41.0	41.0	41.0
16-17	40.16050070387931	41.0	41.0	41.0	39.0	41.0
18-19	40.15158691655443	41.0	41.0	41.0	37.0	41.0
20-21	40.14548128449676	41.0	41.0	41.0	37.0	41.0
22-23	40.152338898234845	41.0	41.0	41.0	39.0	41.0
24-25	40.13650211288572	41.0	41.0	41.0	37.0	41.0
26-27	40.085270904317085	41.0	41.0	41.0	37.0	41.0
28-29	40.06346430903908	41.0	41.0	41.0	37.0	41.0
30-31	40.03096052011952	41.0	41.0	41.0	37.0	41.0
32-33	40.039028491826585	41.0	41.0	41.0	37.0	41.0
34-35	40.08161512413406	41.0	41.0	41.0	37.0	41.0
36-37	40.07959968117661	41.0	41.0	41.0	37.0	41.0
38-39	40.07007100218273	41.0	41.0	41.0	37.0	41.0
40-41	40.071421018379326	41.0	41.0	41.0	37.0	41.0
42-43	40.05557619718991	41.0	41.0	41.0	37.0	41.0
44-45	40.01065832945511	41.0	41.0	41.0	37.0	41.0
46-47	40.01254764712236	41.0	41.0	41.0	37.0	41.0
48-49	40.01957692917946	41.0	41.0	41.0	37.0	41.0
50-51	40.01545790685458	41.0	41.0	41.0	37.0	41.0
52-53	39.97434247400993	41.0	41.0	41.0	37.0	41.0
54-55	39.97654380707709	41.0	41.0	41.0	37.0	41.0
56-57	39.960075080448746	41.0	41.0	41.0	37.0	41.0
58-59	39.954214951307954	41.0	41.0	41.0	37.0	41.0
60-61	39.93735340365198	41.0	41.0	41.0	37.0	41.0
62-63	39.90530797406946	41.0	41.0	41.0	37.0	41.0
64-65	39.90223131839903	41.0	41.0	41.0	37.0	41.0
66-67	39.88805262529636	41.0	41.0	41.0	37.0	41.0
68-69	39.8739653804129	41.0	41.0	41.0	37.0	41.0
70-71	39.79665695189708	41.0	41.0	41.0	37.0	41.0
72-73	39.81004467533657	41.0	41.0	41.0	37.0	41.0
74-75	39.78611849902285	41.0	41.0	41.0	37.0	41.0
76-77	39.43871908667245	41.0	41.0	41.0	37.0	41.0
78-79	39.54425620602903	41.0	41.0	41.0	37.0	41.0
80-81	39.687551853828545	41.0	41.0	41.0	37.0	41.0
82-83	39.73691056130188	41.0	41.0	41.0	37.0	41.0
84-85	39.714996491339114	41.0	41.0	41.0	37.0	41.0
86-87	39.693782029266075	41.0	41.0	41.0	37.0	41.0
88-89	39.558623039702184	41.0	41.0	41.0	37.0	41.0
90-91	39.59163611460027	41.0	41.0	41.0	37.0	41.0
92-93	39.54492486057039	41.0	41.0	41.0	37.0	41.0
94-95	39.478493102091576	41.0	41.0	41.0	37.0	41.0
96-97	39.481735694143985	41.0	41.0	41.0	37.0	41.0
98-99	39.30273621609414	41.0	41.0	41.0	37.0	41.0
100-101	39.25815022060105	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.1596417064123088
1101	2	0.00595038212009058
1101	3	-0.3368086432127413
1101	4	-0.10345770355025508
1101	5	0.123296965986043
1101	6	-0.07819099762192394
1101	7	0.03846101849359229
1101	8	0.0084558435913209
1101	9	0.01975528061973364
1101	10-11	0.0658474915115832
1101	12-13	0.03941783957247935
1101	14-15	0.010041916100554715
1101	16-17	7.087511682115633E-4
1101	18-19	0.03631592731025535
1101	20-21	0.06587257840340754
1101	22-23	0.042757967826631216
1101	24-25	0.07174177110132263
1101	26-27	0.07947829122025496
1101	28-29	0.06396314716513984
1101	30-31	0.035345607556187986
1101	32-33	0.04890463923700139
1101	34-35	0.00415416784947098
1101	36-37	0.02271279422879502
1101	38-39	0.01379596739644029
1101	40-41	-0.010791357603864071
1101	42-43	0.03131294232274939
1101	44-45	0.09097207636502702
1101	46-47	0.007300439023744332
1101	48-49	-0.013443844694506879
1101	50-51	-0.007290821009448223
1101	52-53	0.04579631386157956
1101	54-55	0.041329366068765694
1101	56-57	0.022542659066225212
1101	58-59	0.02147981416143807
1101	60-61	0.023274714580374223
1101	62-63	0.09400835647357297
1101	64-65	0.012293778988222925
1101	66-67	0.0642983958414618
1101	68-69	0.024207668036488883
1101	70-71	0.08672482167196449
1101	72-73	0.022408900826818012
1101	74-75	0.06350097684932621
1101	76-77	0.14341153153803532
1101	78-79	0.15942344627929828
1101	80-81	0.18511477455045622
1101	82-83	0.12380755477845184
1101	84-85	0.10980223981682968
1101	86-87	0.06026645172780576
1101	88-89	0.15586038181678674
1101	90-91	0.12296048698953399
1101	92-93	0.1916800100915168
1101	94-95	0.24638822995479615
1101	96-97	0.13892915019642516
1101	98-99	0.29660464859485813
1101	100-101	0.06810216323880525
1102	1	-0.07800761352360652
1102	2	0.023969207376314472
1102	3	-0.2475303746171491
1102	4	0.027159901313062562
1102	5	0.12376726993718279
1102	6	0.00993211095661195
1102	7	-0.003454399430545152
1102	8	-5.414730684307756E-4
1102	9	0.014578484001290803
1102	10-11	0.017942793056434425
1102	12-13	0.011000797970488918
1102	14-15	0.018136401192350604
1102	16-17	0.06342145514999942
1102	18-19	0.07344188752076519
1102	20-21	0.03137829010180582
1102	22-23	0.03207500504272076
1102	24-25	0.08864479040982332
1102	26-27	0.10501496423160006
1102	28-29	0.07369060783140924
1102	30-31	0.08787231543448826
1102	32-33	0.07585307746787606
1102	34-35	-0.011135681916414342
1102	36-37	-0.009342649533422787
1102	38-39	0.031672425661689374
1102	40-41	-0.006408618921156517
1102	42-43	-0.013470641515375803
1102	44-45	0.07484505734951341
1102	46-47	0.04987322747545164
1102	48-49	0.05223718458604765
1102	50-51	3.2931150634141204E-4
1102	52-53	-0.010656269111080974
1102	54-55	0.028206618310967713
1102	56-57	0.007836075756564753
1102	58-59	0.006266028691605641
1102	60-61	0.02055479880284139
1102	62-63	0.010894653781292618
1102	64-65	0.031211673619665703
1102	66-67	0.024869708530168566
1102	68-69	0.011532920483496412
1102	70-71	0.115606178807802
1102	72-73	0.04502696234501258
1102	74-75	0.024129086768184038
1102	76-77	0.10043126050352669
1102	78-79	0.0701444286305204
1102	80-81	0.12733561279132743
1102	82-83	0.11272723845470978
1102	84-85	0.1579339105755153
1102	86-87	0.09784729135946435
1102	88-89	0.2306401154295301
1102	90-91	0.1965583448304713
1102	92-93	0.17612937982198673
1102	94-95	0.22736802496042685
1102	96-97	0.2265706229155171
1102	98-99	0.3972233228742468
1102	100-101	0.17223310434147976
1103	1	-0.09141221704937053
1103	2	-0.010239899453726053
1103	3	-0.14628064453704326
1103	4	-0.018444592242850888
1103	5	0.17714078787027177
1103	6	0.11039643251232434
1103	7	0.13540406316430875
1103	8	0.06895285946448837
1103	9	0.027690715524464338
1103	10-11	0.011246663151794678
1103	12-13	0.05438371928349284
1103	14-15	0.05928732536086301
1103	16-17	0.07008757637209584
1103	18-19	0.10510284772422551
1103	20-21	0.10965486040651484
1103	22-23	0.12206356653211259
1103	24-25	0.08771818084656502
1103	26-27	0.08253519704675227
1103	28-29	0.05518142256338621
1103	30-31	0.12301123644649437
1103	32-33	0.08451696194524771
1103	34-35	0.06885862335746396
1103	36-37	0.10471115628067196
1103	38-39	0.12290139088276675
1103	40-41	0.05600028763851128
1103	42-43	0.02857511042979155
1103	44-45	0.09681907879934926
1103	46-47	0.10497017930111241
1103	48-49	0.08245111759707413
1103	50-51	0.024242030943597115
1103	52-53	0.06730515072374033
1103	54-55	0.07855060756805443
1103	56-57	0.09095891750380503
1103	58-59	0.06621417995362577
1103	60-61	0.11217983481660099
1103	62-63	0.10854429027033774
1103	64-65	0.14398137408642953
1103	66-67	0.07595775754389678
1103	68-69	0.08691848455449502
1103	70-71	0.12653461813832934
1103	72-73	0.1500277230353788
1103	74-75	0.12562910315857323
1103	76-77	0.11641028022945932
1103	78-79	0.16251826896502308
1103	80-81	0.18230477757687424
1103	82-83	0.14141306648269847
1103	84-85	0.1610539875381889
1103	86-87	0.13320687938664832
1103	88-89	0.27181455706880797
1103	90-91	0.21054208884638825
1103	92-93	0.32570963721349244
